avg_cluster_size	consistency	t	combo
170	0.22128791703887832	2.757751226425171	ba + he + z
175	0.22379306326950713	2.4798922538757324	ba + he + z
180	0.20357711578047927	2.6298327445983887	ba + he + z
185	0.21961781955179244	2.649258613586426	ba + he + z
190	0.22029751038955994	2.720329523086548	ba + he + z
195	0.2215403736357634	2.7924094200134277	ba + he + z
5	0.12780129723851322	8.55118989944458	ba + he + hy + z
10	0.14673554200489378	6.0473549365997314	ba + he + hy + z
15	0.1453955800675807	5.229242563247681	ba + he + hy + z
20	0.18773060939138542	4.5233190059661865	ba + he + hy + z
25	0.18833262127626518	4.293810844421387	ba + he + hy + z
30	0.18635180797762846	4.0774242877960205	ba + he + hy + z
35	0.18907057132869848	4.079583644866943	ba + he + hy + z
40	0.19066298986289665	3.5993456840515137	ba + he + hy + z
45	0.19095428593622557	3.986569404602051	ba + he + hy + z
50	0.19114848331844486	4.00990629196167	ba + he + hy + z
55	0.19101254515089136	3.568873405456543	ba + he + hy + z
60	0.19089602672155978	3.8086273670196533	ba + he + hy + z
65	0.19097370567444752	3.768686532974243	ba + he + hy + z
70	0.19200295180020974	3.8554821014404297	ba + he + hy + z
75	0.19231366761176058	3.1676383018493652	ba + he + hy + z
80	0.19198353206198782	3.189687967300415	ba + he + hy + z
85	0.19328465452285704	3.165447235107422	ba + he + hy + z
90	0.19522662834504992	3.116426467895508	ba + he + hy + z
95	0.19491591253349905	2.9655978679656982	ba + he + hy + z
100	0.19443041907795083	3.175611972808838	ba + he + hy + z
105	0.19481881384238942	3.0467875003814697	ba + he + hy + z
110	0.19549850468015692	3.3294594287872314	ba + he + hy + z
115	0.19602283761214898	3.33632230758667	ba + he + hy + z
120	0.19571212180059813	3.0113463401794434	ba + he + hy + z
125	0.21287917038878315	3.2247672080993652	ba + he + hy + z
130	0.21291800986522702	3.1649105548858643	ba + he + hy + z
135	0.21313162698566823	2.9148316383361816	ba + he + hy + z
140	0.2128985901270051	3.0553431510925293	ba + he + hy + z
145	0.22247252107041596	3.2111411094665527	ba + he + hy + z
150	0.21942362216957315	2.922571897506714	ba + he + hy + z
155	0.21959839981357052	2.9362473487854004	ba + he + hy + z
160	0.22245310133219404	3.2722928524017334	ba + he + hy + z
165	0.2050724356235678	2.8225975036621094	ba + he + hy + z
170	0.2219481881384239	2.872352361679077	ba + he + hy + z
175	0.22169573154153882	2.6557223796844482	ba + he + hy + z
180	0.20639297782265895	3.0892937183380127	ba + he + hy + z
185	0.20553850934089407	3.0395119190216064	ba + he + hy + z
190	0.20483939876490465	2.935013771057129	ba + he + hy + z
195	0.22375422379306326	3.1620066165924072	ba + he + hy + z
5	0.1278401367149571	7.15855598449707	ba + he + hy + ms
10	0.14370606284227289	4.466697454452515	ba + he + hy + ms
15	0.14545383928224648	3.9166369438171387	ba + he + hy + ms
20	0.1807783431079349	3.708991289138794	ba + he + hy + ms
25	0.18252611954790848	3.1762425899505615	ba + he + hy + ms
