actual	baseline	metrics	n	dm	t
0.3387096774193548	0.04838709677419355	purity_90	3800	Hamming	0.2809321880340576
0.229607250755287	0.1691842900302115	consistency	3800	Hamming	0.2809321880340576
0.09605263157894736	0.09605263157894736	retention	3800	Levenshtein	2.6853599548339844
0.5920398009950248	0.44527363184079605	purity	3800	Levenshtein	2.6853599548339844
0.32116788321167883	0.072992700729927	purity_90	3800	Levenshtein	2.6853599548339844
0.1890547263681592	0.14925373134328357	consistency	3800	Levenshtein	2.6853599548339844
0.07974358974358975	0.07974358974358975	retention	3900	Hamming	0.2969965934753418
0.625	0.45454545454545453	purity	3900	Hamming	0.2969965934753418
0.328	0.088	purity_90	3900	Hamming	0.2969965934753418
0.23579545454545456	0.14772727272727273	consistency	3900	Hamming	0.2969965934753418
0.10128205128205128	0.10128205128205128	retention	3900	Levenshtein	2.8640027046203613
0.5637583892617449	0.4228187919463087	purity	3900	Levenshtein	2.8640027046203613
0.28169014084507044	0.04225352112676056	purity_90	3900	Levenshtein	2.8640027046203613
0.21029082774049218	0.15659955257270694	consistency	3900	Levenshtein	2.8640027046203613
0.074	0.074	retention	4000	Hamming	0.26126956939697266
0.6565349544072948	0.48024316109422494	purity	4000	Hamming	0.26126956939697266
0.42735042735042733	0.09401709401709402	purity_90	4000	Hamming	0.26126956939697266
0.2553191489361702	0.17933130699088146	consistency	4000	Hamming	0.26126956939697266
0.093	0.093	retention	4000	Levenshtein	2.914717674255371
0.6129807692307693	0.4543269230769231	purity	4000	Levenshtein	2.914717674255371
0.3897058823529412	0.10294117647058823	purity_90	4000	Levenshtein	2.914717674255371
0.21634615384615385	0.15865384615384615	consistency	4000	Levenshtein	2.914717674255371
0.08097560975609756	0.08097560975609756	retention	4100	Hamming	0.2817058563232422
0.6329787234042553	0.44148936170212766	purity	4100	Hamming	0.2817058563232422
0.33064516129032256	0.056451612903225805	purity_90	4100	Hamming	0.2817058563232422
0.22872340425531915	0.1675531914893617	consistency	4100	Hamming	0.2817058563232422
0.09731707317073171	0.09731707317073171	retention	4100	Levenshtein	3.089071035385132
0.5968819599109132	0.43207126948775054	purity	4100	Levenshtein	3.089071035385132
0.3283582089552239	0.05970149253731343	purity_90	4100	Levenshtein	3.089071035385132
0.20489977728285078	0.15367483296213807	consistency	4100	Levenshtein	3.089071035385132
0.09690476190476191	0.09690476190476191	retention	4200	Hamming	0.32338666915893555
0.6681222707423581	0.4672489082969432	purity	4200	Hamming	0.32338666915893555
0.43558282208588955	0.08588957055214724	purity_90	4200	Hamming	0.32338666915893555
0.22707423580786026	0.15502183406113537	consistency	4200	Hamming	0.32338666915893555
0.11452380952380953	0.11452380952380953	retention	4200	Levenshtein	3.3358912467956543
0.6096654275092936	0.44423791821561337	purity	4200	Levenshtein	3.3358912467956543
0.4011299435028249	0.06779661016949153	purity_90	4200	Levenshtein	3.3358912467956543
0.2100371747211896	0.15055762081784388	consistency	4200	Levenshtein	3.3358912467956543
