actual	baseline	metrics	method	n	t
0.1298255647698027	0.06863025450386046	consistency	Two-step	16900	3.776529312133789
1.0413476263399695	1.0413476263399695	retention	Faiss	17000	0.11628985404968262
0.33050397877984083	0.33050397877984083	purity	Faiss	17000	0.11628985404968262
0.0	0.0	purity_90	Faiss	17000	0.11628985404968262
0.2109814323607427	0.22689655172413792	consistency	Faiss	17000	0.11628985404968262
0.21108728943338437	0.21108728943338437	retention	MCL	17000	3.5028786659240723
0.5697036223929748	0.3787047200878156	purity	MCL	17000	3.5028786659240723
0.3382352941176471	0.06818181818181818	purity_90	MCL	17000	3.5028786659240723
0.13913282107574093	0.06860592755214051	consistency	MCL	17000	3.5028786659240723
0.21053598774885146	0.21053598774885146	retention	Two-step	17000	3.5466763973236084
0.5689133425034388	0.37111416781292983	purity	Two-step	17000	3.5466763973236084
0.3378016085790885	0.08176943699731903	purity_90	Two-step	17000	3.5466763973236084
0.13947730398899588	0.07042640990371389	consistency	Two-step	17000	3.5466763973236084
1.0430645358057826	1.0430645358057826	retention	Faiss	17100	0.12900209426879883
0.3292836857052698	0.3292836857052698	purity	Faiss	17100	0.12900209426879883
0.0	0.0	purity_90	Faiss	17100	0.12900209426879883
0.24150625854633428	0.21436836015567476	consistency	Faiss	17100	0.12900209426879883
0.21788459192387458	0.21788459192387458	retention	MCL	17100	3.9049177169799805
0.5875230323769413	0.3708870755461964	purity	MCL	17100	3.9049177169799805
0.3650990099009901	0.07054455445544554	purity_90	MCL	17100	3.9049177169799805
0.1403000789681495	0.06685969992103186	consistency	MCL	17100	3.9049177169799805
0.21452970598999635	0.21452970598999635	retention	Two-step	17100	3.8158626556396484
0.5888175494917068	0.37051899411449973	purity	Two-step	17100	3.8158626556396484
0.36625	0.08625	purity_90	Two-step	17100	3.8158626556396484
0.1420545746388443	0.0671482075976458	consistency	Two-step	17100	3.8158626556396484
1.0409731888882163	1.0409731888882163	retention	Faiss	17200	0.1184377670288086
0.32592008412197687	0.32592008412197687	purity	Faiss	17200	0.1184377670288086
0.0	0.0	purity_90	Faiss	17200	0.1184377670288086
0.23533123028391167	0.21876971608832807	consistency	Faiss	17200	0.1184377670288086
0.21551776311807783	0.21551776311807783	retention	MCL	17200	4.10862398147583
0.5761904761904761	0.3798941798941799	purity	MCL	17200	4.10862398147583
0.3710691823899371	0.08050314465408805	purity_90	MCL	17200	4.10862398147583
0.13306878306878306	0.06481481481481481	consistency	MCL	17200	4.10862398147583
0.21243115656963021	0.21243115656963021	retention	Two-step	17200	3.8044371604919434
0.5768302493966211	0.3834808259587021	purity	Two-step	17200	3.8044371604919434
0.3700887198986058	0.06717363751584284	purity_90	Two-step	17200	3.8044371604919434
0.13247519442209707	0.06623759721104854	consistency	Two-step	17200	3.8044371604919434
1.0427340124163704	1.0427340124163704	retention	Faiss	17300	0.12394571304321289
0.3279491454772822	0.3279491454772822	purity	Faiss	17300	0.12394571304321289
0.0	0.0	purity_90	Faiss	17300	0.12394571304321289
0.19268445185493957	0.20258441017090453	consistency	Faiss	17300	0.12394571304321289
0.2115604846000844	0.2115604846000844	retention	MCL	17300	3.9442551136016846
0.5799892990904227	0.3756019261637239	purity	MCL	17300	3.9442551136016846
0.3719512195121951	0.06097560975609756	purity_90	MCL	17300	3.9442551136016846
0.1260032102728732	0.06126270733012306	consistency	MCL	17300	3.9442551136016846
0.20872762341028267	0.20872762341028267	retention	Two-step	17300	3.913625955581665
0.5800325556158438	0.37927292457948997	purity	Two-step	17300	3.913625955581665
0.36855036855036855	0.07493857493857493	purity_90	Two-step	17300	3.913625955581665
0.12588171459576777	0.06619641888225719	consistency	Two-step	17300	3.913625955581665
1.0437286305560554	1.0437286305560554	retention	Faiss	17400	0.12205886840820312
0.3296850800206505	0.3296850800206505	purity	Faiss	17400	0.12205886840820312
0.0	0.0	purity_90	Faiss	17400	0.12205886840820312
0.2291688177594218	0.21270005162622613	consistency	Faiss	17400	0.12205886840820312
0.20904564813148582	0.20904564813148582	retention	MCL	17400	3.8869059085845947
0.5895078420767983	0.37479718766901027	purity	MCL	17400	3.8869059085845947
0.35974842767295595	0.07044025157232704	purity_90	MCL	17400	3.8869059085845947
0.13115197404002163	0.05949161709031909	consistency	MCL	17400	3.8869059085845947
0.20808589766660668	0.20808589766660668	retention	Two-step	17400	3.798902750015259
0.5885388375882672	0.3772406300923411	purity	Two-step	17400	3.798902750015259
0.3577749683944374	0.07079646017699115	purity_90	Two-step	17400	3.798902750015259
0.13145029875067898	0.06328082563824008	consistency	Two-step	17400	3.798902750015259
